sku_id,referencia_id,categoria,talla,color,precio_venta,costo,temporada,es_nuevo
SKU000092,REF0005,Camiseta,M,Rojo,45000,20000,SS22,True
SKU000093,REF0005,Camiseta,L,Blanco,44000,20000,SS22,False
SKU000094,REF0005,Camiseta,L,Negro,50000,23000,SS22,True
SKU000095,REF0005,Camiseta,L,Azul,48000,22000,SS22,False
SKU000096,REF0005,Camiseta,L,Rojo,44000,20000,SS22,False
SKU000097,REF0005,Camiseta,XL,Blanco,43000,20000,SS22,False
SKU000098,REF0005,Camiseta,XL,Negro,41000,19000,SS22,True
SKU000099,REF0005,Camiseta,XL,Azul,48000,21000,SS22,True
SKU000100,REF0005,Camiseta,XL,Rojo,41000,19000,SS22,False
SKU000101,REF0006,Camiseta,XS,Blanco,41000,18000,SS23,False
SKU000102,REF0006,Camiseta,XS,Negro,41000,18000,SS23,False
SKU000103,REF0006,Camiseta,XS,Azul,45000,20000,SS23,False
SKU000104,REF0006,Camiseta,XS,Rojo,44000,20000,SS23,True
SKU000105,REF0006,Camiseta,S,Blanco,52000,23000,SS23,False
SKU000106,REF0006,Camiseta,S,Negro,50000,23000,SS23,True
SKU000107,REF0006,Camiseta,S,Azul,41000,18000,SS23,False
SKU000108,REF0006,Camiseta,S,Rojo,47000,21000,SS23,False
SKU000109,REF0006,Camiseta,M,Blanco,50000,22000,SS23,True
SKU000110,REF0006,Camiseta,M,Negro,51000,23000,SS23,False
SKU000111,REF0006,Camiseta,M,Azul,50000,22000,SS23,True
SKU000112,REF0006,Camiseta,M,Rojo,45000,20000,SS23,False
SKU000113,REF0006,Camiseta,L,Blanco,42000,19000,SS23,True
SKU000114,REF0006,Camiseta,L,Negro,51000,23000,SS23,False
SKU000115,REF0006,Camiseta,L,Azul,41000,18000,SS23,False
SKU000116,REF0006,Camiseta,L,Rojo,45000,20000,SS23,False
SKU000117,REF0006,Camiseta,XL,Blanco,43000,19000,SS23,True
SKU000118,REF0006,Camiseta,XL,Negro,41000,19000,SS23,False
SKU000119,REF0006,Camiseta,XL,Azul,48000,22000,SS23,True
SKU000120,REF0006,Camiseta,XL,Rojo,51000,23000,SS23,False
SKU000121,REF0007,Camiseta,XS,Blanco,43000,19000,SS23,True
SKU000122,REF0007,Camiseta,XS,Negro,43000,19000,SS23,False
SKU000123,REF0007,Camiseta,XS,Azul,48000,21000,SS23,False
SKU000124,REF0007,Camiseta,XS,Rojo,48000,22000,SS23,False
SKU000125,REF0007,Camiseta,S,Blanco,49000,22000,SS23,True
SKU000126,REF0007,Camiseta,S,Negro,47000,21000,SS23,True
SKU000127,REF0007,Camiseta,S,Azul,42000,19000,SS23,False
SKU000128,REF0007,Camiseta,S,Rojo,42000,19000,SS23,True
SKU000129,REF0007,Camiseta,M,Blanco,44000,20000,SS23,False
SKU000130,REF0007,Camiseta,M,Negro,42000,19000,SS23,True
SKU000131,REF0007,Camiseta,M,Azul,49000,22000,SS23,False
SKU000132,REF0007,Camiseta,M,Rojo,44000,20000,SS23,False
SKU000133,REF0007,Camiseta,L,Blanco,48000,22000,SS23,True
SKU000134,REF0007,Camiseta,L,Negro,51000,23000,SS23,False
SKU000135,REF0007,Camiseta,L,Azul,43000,20000,SS23,True
SKU000136,REF0007,Camiseta,L,Rojo,51000,23000,SS23,False
SKU000137,REF0007,Camiseta,XL,Blanco,47000,21000,SS23,False
SKU000138,REF0007,Camiseta,XL,Negro,47000,21000,SS23,False
SKU000139,REF0007,Camiseta,XL,Azul,51000,23000,SS23,False
SKU000140,REF0007,Camiseta,XL,Rojo,48000,21000,SS23,False
SKU000141,REF0008,Camiseta,XS,Blanco,48000,22000,FW22,False
SKU000142,REF0008,Camiseta,XS,Negro,42000,19000,FW22,False
SKU000143,REF0008,Camiseta,XS,Azul,50000,22000,FW22,False
SKU000144,REF0008,Camiseta,XS,Rojo,50000,22000,FW22,False
SKU000145,REF0008,Camiseta,S,Blanco,43000,19000,FW22,True
SKU000146,REF0008,Camiseta,S,Negro,43000,19000,FW22,False
SKU000147,REF0008,Camiseta,S,Azul,41000,18000,FW22,False
SKU000148,REF0008,Camiseta,S,Rojo,44000,20000,FW22,False
SKU000149,REF0008,Camiseta,M,Blanco,45000,20000,FW22,False
SKU000150,REF0008,Camiseta,M,Negro,44000,20000,FW22,True
SKU000151,REF0008,Camiseta,M,Azul,46000,21000,FW22,False
SKU000152,REF0008,Camiseta,M,Rojo,44000,20000,FW22,False
SKU000153,REF0008,Camiseta,L,Blanco,41000,18000,FW22,False
SKU000154,REF0008,Camiseta,L,Negro,51000,23000,FW22,False
SKU000155,REF0008,Camiseta,L,Azul,45000,20000,FW22,False
SKU000156,REF0008,Camiseta,L,Rojo,47000,21000,FW22,False
SKU000157,REF0008,Camiseta,XL,Blanco,42000,19000,FW22,True
SKU000158,REF0008,Camiseta,XL,Negro,47000,21000,FW22,False
SKU000159,REF0008,Camiseta,XL,Azul,47000,21000,FW22,True
SKU000160,REF0008,Camiseta,XL,Rojo,48000,22000,FW22,False
SKU000161,REF0009,Camiseta,XS,Blanco,43000,19000,FW23,False
SKU000162,REF0009,Camiseta,XS,Negro,47000,21000,FW23,False
SKU000163,REF0009,Camiseta,XS,Azul,45000,20000,FW23,True
SKU000164,REF0009,Camiseta,XS,Rojo,42000,19000,FW23,True
SKU000165,REF0009,Camiseta,S,Blanco,51000,23000,FW23,False
SKU000166,REF0009,Camiseta,S,Negro,44000,20000,FW23,False
SKU000167,REF0009,Camiseta,S,Azul,48000,22000,FW23,False
SKU000168,REF0009,Camiseta,S,Rojo,46000,21000,FW23,True
SKU000169,REF0009,Camiseta,M,Blanco,42000,19000,FW23,False
SKU000170,REF0009,Camiseta,M,Negro,47000,21000,FW23,True
SKU000171,REF0009,Camiseta,M,Azul,51000,23000,FW23,False
SKU000172,REF0009,Camiseta,M,Rojo,42000,19000,FW23,False
SKU000173,REF0009,Camiseta,L,Blanco,51000,23000,FW23,False
SKU000174,REF0009,Camiseta,L,Negro,41000,19000,FW23,False
SKU000175,REF0009,Camiseta,L,Azul,47000,21000,FW23,False
SKU000176,REF0009,Camiseta,L,Rojo,51000,23000,FW23,False
SKU000177,REF0009,Camiseta,XL,Blanco,50000,22000,FW23,False
SKU000178,REF0009,Camiseta,XL,Negro,50000,22000,FW23,False
SKU000179,REF0009,Camiseta,XL,Azul,43000,19000,FW23,False
SKU000180,REF0009,Camiseta,XL,Rojo,51000,23000,FW23,True
SKU000181,REF0010,Camiseta,XS,Blanco,46000,21000,FW23,True
SKU000182,REF0010,Camiseta,XS,Negro,47000,21000,FW23,False
SKU000183,REF0010,Camiseta,XS,Azul,50000,23000,FW23,True
SKU000184,REF0010,Camiseta,XS,Rojo,51000,23000,FW23,False
SKU000185,REF0010,Camiseta,S,Blanco,44000,20000,FW23,False
SKU000186,REF0010,Camiseta,S,Negro,46000,21000,FW23,False
SKU000187,REF0010,Camiseta,S,Azul,48000,22000,FW23,True
SKU000188,REF0010,Camiseta,S,Rojo,44000,20000,FW23,False
SKU000189,REF0010,Camiseta,M,Blanco,43000,20000,FW23,False
SKU000190,REF0010,Camiseta,M,Negro,47000,21000,FW23,False
SKU000191,REF0010,Camiseta,M,Azul,49000,22000,FW23,False
SKU000192,REF0010,Camiseta,M,Rojo,49000,22000,FW23,False
SKU000193,REF0010,Camiseta,L,Blanco,43000,19000,FW23,False
SKU000194,REF0010,Camiseta,L,Negro,46000,21000,FW23,True
SKU000195,REF0010,Camiseta,L,Azul,46000,21000,FW23,False
SKU000196,REF0010,Camiseta,L,Rojo,50000,22000,FW23,False
SKU000197,REF0010,Camiseta,XL,Blanco,47000,21000,FW23,False
SKU000198,REF0010,Camiseta,XL,Negro,41000,18000,FW23,False
SKU000199,REF0010,Camiseta,XL,Azul,51000,23000,FW23,True
SKU000200,REF0010,Camiseta,XL,Rojo,48000,22000,FW23,True
SKU000201,REF0011,Jean,28,Azul Oscuro,89000,40000,SS23,True
SKU000202,REF0011,Jean,28,Negro,92000,42000,SS23,False
SKU000203,REF0011,Jean,28,Gris,102000,46000,SS23,False
SKU000204,REF0011,Jean,30,Azul Oscuro,103000,46000,SS23,False
SKU000205,REF0011,Jean,30,Negro,108000,49000,SS23,True
SKU000206,REF0011,Jean,30,Gris,95000,43000,SS23,True
SKU000207,REF0011,Jean,32,Azul Oscuro,93000,42000,SS23,True
SKU000208,REF0011,Jean,32,Negro,101000,45000,SS23,False
SKU000209,REF0011,Jean,32,Gris,91000,41000,SS23,True
SKU000210,REF0011,Jean,34,Azul Oscuro,94000,42000,SS23,True
SKU000211,REF0011,Jean,34,Negro,96000,43000,SS23,True
SKU000212,REF0011,Jean,34,Gris,92000,41000,SS23,False
SKU000213,REF0011,Jean,36,Azul Oscuro,100000,45000,SS23,True
SKU000214,REF0011,Jean,36,Negro,89000,40000,SS23,True
SKU000215,REF0011,Jean,36,Gris,108000,49000,SS23,False
SKU000216,REF0012,Jean,28,Azul Oscuro,99000,45000,FW23,False
SKU000217,REF0012,Jean,28,Negro,87000,39000,FW23,False
SKU000218,REF0012,Jean,28,Gris,99000,44000,FW23,True
SKU000219,REF0012,Jean,30,Azul Oscuro,95000,43000,FW23,False
SKU000220,REF0012,Jean,30,Negro,97000,44000,FW23,False
SKU000221,REF0012,Jean,30,Gris,94000,43000,FW23,False
SKU000222,REF0012,Jean,32,Azul Oscuro,95000,43000,FW23,False
SKU000223,REF0012,Jean,32,Negro,99000,45000,FW23,True
SKU000224,REF0012,Jean,32,Gris,86000,39000,FW23,True
SKU000225,REF0012,Jean,34,Azul Oscuro,86000,39000,FW23,True
SKU000226,REF0012,Jean,34,Negro,102000,46000,FW23,False
SKU000227,REF0012,Jean,34,Gris,103000,46000,FW23,False
SKU000228,REF0012,Jean,36,Azul Oscuro,99000,45000,FW23,False
SKU000229,REF0012,Jean,36,Negro,103000,47000,FW23,False
SKU000230,REF0012,Jean,36,Gris,91000,41000,FW23,True
SKU000231,REF0013,Jean,28,Azul Oscuro,91000,41000,FW23,True
SKU000232,REF0013,Jean,28,Negro,90000,41000,FW23,False
SKU000233,REF0013,Jean,28,Gris,103000,47000,FW23,True
SKU000234,REF0013,Jean,30,Azul Oscuro,92000,41000,FW23,True
SKU000235,REF0013,Jean,30,Negro,97000,44000,FW23,False
SKU000236,REF0013,Jean,30,Gris,105000,47000,FW23,False
SKU000237,REF0013,Jean,32,Azul Oscuro,105000,47000,FW23,False
SKU000238,REF0013,Jean,32,Negro,88000,39000,FW23,False
SKU000239,REF0013,Jean,32,Gris,100000,45000,FW23,False
SKU000240,REF0013,Jean,34,Azul Oscuro,95000,43000,FW23,False
SKU000241,REF0013,Jean,34,Negro,101000,45000,FW23,False
SKU000242,REF0013,Jean,34,Gris,107000,48000,FW23,False
SKU000243,REF0013,Jean,36,Azul Oscuro,109000,49000,FW23,False
SKU000244,REF0013,Jean,36,Negro,101000,45000,FW23,False
SKU000245,REF0013,Jean,36,Gris,88000,39000,FW23,False
SKU000246,REF0014,Jean,28,Azul Oscuro,99000,44000,SS22,False
SKU000247,REF0014,Jean,28,Negro,107000,48000,SS22,True
SKU000248,REF0014,Jean,28,Gris,98000,44000,SS22,False
SKU000249,REF0014,Jean,30,Azul Oscuro,104000,47000,SS22,False
SKU000250,REF0014,Jean,30,Negro,105000,47000,SS22,False
SKU000251,REF0014,Jean,30,Gris,87000,39000,SS22,True
SKU000252,REF0014,Jean,32,Azul Oscuro,100000,45000,SS22,False
SKU000253,REF0014,Jean,32,Negro,90000,41000,SS22,False
SKU000254,REF0014,Jean,32,Gris,94000,42000,SS22,False
SKU000255,REF0014,Jean,34,Azul Oscuro,96000,43000,SS22,False
SKU000256,REF0014,Jean,34,Negro,95000,43000,SS22,False
SKU000257,REF0014,Jean,34,Gris,90000,40000,SS22,False
SKU000258,REF0014,Jean,36,Azul Oscuro,95000,43000,SS22,False
SKU000259,REF0014,Jean,36,Negro,98000,44000,SS22,False
SKU000260,REF0014,Jean,36,Gris,100000,45000,SS22,True
SKU000261,REF0015,Jean,28,Azul Oscuro,105000,47000,SS23,False
SKU000262,REF0015,Jean,28,Negro,94000,42000,SS23,True
SKU000263,REF0015,Jean,28,Gris,99000,44000,SS23,False
SKU000264,REF0015,Jean,30,Azul Oscuro,94000,42000,SS23,False
SKU000265,REF0015,Jean,30,Negro,89000,40000,SS23,False
SKU000266,REF0015,Jean,30,Gris,93000,42000,SS23,True
SKU000267,REF0015,Jean,32,Azul Oscuro,97000,44000,SS23,False
SKU000268,REF0015,Jean,32,Negro,98000,44000,SS23,True
SKU000269,REF0015,Jean,32,Gris,94000,43000,SS23,True
SKU000270,REF0015,Jean,34,Azul Oscuro,106000,48000,SS23,True
SKU000271,REF0015,Jean,34,Negro,100000,45000,SS23,False
SKU000272,REF0015,Jean,34,Gris,98000,44000,SS23,False
SKU000273,REF0015,Jean,36,Azul Oscuro,91000,41000,SS23,False
SKU000274,REF0015,Jean,36,Negro,98000,44000,SS23,False
SKU000275,REF0015,Jean,36,Gris,87000,39000,SS23,True
SKU000276,REF0016,Jean,28,Azul Oscuro,89000,40000,SS24,False
SKU000277,REF0016,Jean,28,Negro,106000,47000,SS24,False
SKU000278,REF0016,Jean,28,Gris,86000,39000,SS24,False
SKU000279,REF0016,Jean,30,Azul Oscuro,94000,42000,SS24,False
SKU000280,REF0016,Jean,30,Negro,88000,40000,SS24,False
SKU000281,REF0016,Jean,30,Gris,90000,40000,SS24,False
SKU000282,REF0016,Jean,32,Azul Oscuro,105000,47000,SS24,True
SKU000283,REF0016,Jean,32,Negro,98000,44000,SS24,True
SKU000284,REF0016,Jean,32,Gris,94000,42000,SS24,False
SKU000285,REF0016,Jean,34,Azul Oscuro,94000,42000,SS24,False
SKU000286,REF0016,Jean,34,Negro,97000,44000,SS24,False
SKU000287,REF0016,Jean,34,Gris,103000,46000,SS24,False
SKU000288,REF0016,Jean,36,Azul Oscuro,99000,45000,SS24,False
SKU000289,REF0016,Jean,36,Negro,94000,43000,SS24,False
SKU000290,REF0016,Jean,36,Gris,107000,48000,SS24,False
SKU000291,REF0017,Jean,28,Azul Oscuro,91000,41000,SS23,False
SKU000292,REF0017,Jean,28,Negro,93000,42000,SS23,False
SKU000293,REF0017,Jean,28,Gris,86000,39000,SS23,True
SKU000294,REF0017,Jean,30,Azul Oscuro,94000,42000,SS23,False
SKU000295,REF0017,Jean,30,Negro,106000,48000,SS23,True
SKU000296,REF0017,Jean,30,Gris,105000,47000,SS23,True
SKU000297,REF0017,Jean,32,Azul Oscuro,106000,47000,SS23,True
SKU000298,REF0017,Jean,32,Negro,86000,39000,SS23,False
SKU000299,REF0017,Jean,32,Gris,109000,49000,SS23,False
SKU000300,REF0017,Jean,34,Azul Oscuro,99000,45000,SS23,False
SKU000301,REF0017,Jean,34,Negro,86000,39000,SS23,False
SKU000302,REF0017,Jean,34,Gris,97000,44000,SS23,False
SKU000303,REF0017,Jean,36,Azul Oscuro,105000,47000,SS23,False
SKU000304,REF0017,Jean,36,Negro,98000,44000,SS23,False
SKU000305,REF0017,Jean,36,Gris,105000,47000,SS23,True
SKU000306,REF0018,Jean,28,Azul Oscuro,108000,49000,SS24,False
SKU000307,REF0018,Jean,28,Negro,90000,41000,SS24,False
SKU000308,REF0018,Jean,28,Gris,98000,44000,SS24,False
SKU000309,REF0018,Jean,30,Azul Oscuro,104000,47000,SS24,True
SKU000310,REF0018,Jean,30,Negro,98000,44000,SS24,False
SKU000311,REF0018,Jean,30,Gris,93000,42000,SS24,False
SKU000312,REF0018,Jean,32,Azul Oscuro,94000,42000,SS24,False
SKU000313,REF0018,Jean,32,Negro,99000,44000,SS24,False
SKU000314,REF0018,Jean,32,Gris,90000,41000,SS24,False
SKU000315,REF0018,Jean,34,Azul Oscuro,88000,39000,SS24,True
SKU000316,REF0018,Jean,34,Negro,86000,39000,SS24,True
SKU000317,REF0018,Jean,34,Gris,97000,44000,SS24,False
SKU000318,REF0018,Jean,36,Azul Oscuro,104000,47000,SS24,True
SKU000319,REF0018,Jean,36,Negro,106000,48000,SS24,False
SKU000320,REF0018,Jean,36,Gris,95000,43000,SS24,False
SKU000321,REF0019,Jean,28,Azul Oscuro,109000,49000,SS22,True
SKU000322,REF0019,Jean,28,Negro,95000,43000,SS22,False
SKU000323,REF0019,Jean,28,Gris,103000,46000,SS22,True
SKU000324,REF0019,Jean,30,Azul Oscuro,104000,47000,SS22,False
SKU000325,REF0019,Jean,30,Negro,103000,46000,SS22,False
SKU000326,REF0019,Jean,30,Gris,105000,47000,SS22,True
SKU000327,REF0019,Jean,32,Azul Oscuro,91000,41000,SS22,False
SKU000328,REF0019,Jean,32,Negro,107000,48000,SS22,False
SKU000329,REF0019,Jean,32,Gris,99000,45000,SS22,False
SKU000330,REF0019,Jean,34,Azul Oscuro,96000,43000,SS22,False
SKU000331,REF0019,Jean,34,Negro,107000,48000,SS22,False
SKU000332,REF0019,Jean,34,Gris,98000,44000,SS22,False
SKU000333,REF0019,Jean,36,Azul Oscuro,99000,45000,SS22,False
SKU000334,REF0019,Jean,36,Negro,95000,43000,SS22,False
SKU000335,REF0019,Jean,36,Gris,87000,39000,SS22,True
SKU000336,REF0020,Jean,28,Azul Oscuro,98000,44000,FW22,False
SKU000337,REF0020,Jean,28,Negro,93000,42000,FW22,False
SKU000338,REF0020,Jean,28,Gris,102000,46000,FW22,True
SKU000339,REF0020,Jean,30,Azul Oscuro,106000,48000,FW22,False
SKU000340,REF0020,Jean,30,Negro,103000,46000,FW22,False
SKU000341,REF0020,Jean,30,Gris,109000,49000,FW22,False
SKU000342,REF0020,Jean,32,Azul Oscuro,102000,46000,FW22,False
SKU000343,REF0020,Jean,32,Negro,89000,40000,FW22,True
SKU000344,REF0020,Jean,32,Gris,102000,46000,FW22,False
SKU000345,REF0020,Jean,34,Azul Oscuro,103000,47000,FW22,True
SKU000346,REF0020,Jean,34,Negro,98000,44000,FW22,False
SKU000347,REF0020,Jean,34,Gris,96000,43000,FW22,False
SKU000348,REF0020,Jean,36,Azul Oscuro,97000,44000,FW22,False
SKU000349,REF0020,Jean,36,Negro,97000,44000,FW22,False
SKU000350,REF0020,Jean,36,Gris,104000,47000,FW22,True
SKU000351,REF0021,Vestido,XS,Floral,79000,35000,FW23,False
SKU000352,REF0021,Vestido,XS,Negro,81000,36000,FW23,False
SKU000353,REF0021,Vestido,XS,Verde,83000,37000,FW23,False
SKU000354,REF0021,Vestido,S,Floral,74000,33000,FW23,True
SKU000355,REF0021,Vestido,S,Negro,75000,34000,FW23,True
SKU000356,REF0021,Vestido,S,Verde,79000,36000,FW23,False
SKU000357,REF0021,Vestido,M,Floral,70000,32000,FW23,True
SKU000358,REF0021,Vestido,M,Negro,72000,33000,FW23,False
SKU000359,REF0021,Vestido,M,Verde,79000,35000,FW23,True
SKU000360,REF0021,Vestido,L,Floral,85000,38000,FW23,False
SKU000361,REF0021,Vestido,L,Negro,68000,31000,FW23,False
SKU000362,REF0021,Vestido,L,Verde,82000,37000,FW23,False
SKU000363,REF0022,Vestido,XS,Floral,69000,31000,SS22,True
SKU000364,REF0022,Vestido,XS,Negro,69000,31000,SS22,False
SKU000365,REF0022,Vestido,XS,Verde,85000,38000,SS22,True
SKU000366,REF0022,Vestido,S,Floral,72000,32000,SS22,True
SKU000367,REF0022,Vestido,S,Negro,71000,32000,SS22,False
SKU000368,REF0022,Vestido,S,Verde,74000,33000,SS22,False
SKU000369,REF0022,Vestido,M,Floral,72000,32000,SS22,False
SKU000370,REF0022,Vestido,M,Negro,75000,34000,SS22,False
SKU000371,REF0022,Vestido,M,Verde,71000,32000,SS22,False
SKU000372,REF0022,Vestido,L,Floral,79000,35000,SS22,True
SKU000373,REF0022,Vestido,L,Negro,75000,34000,SS22,False
SKU000374,REF0022,Vestido,L,Verde,85000,38000,SS22,False
SKU000375,REF0023,Vestido,XS,Floral,77000,34000,FW23,False
SKU000376,REF0023,Vestido,XS,Negro,79000,35000,FW23,True
SKU000377,REF0023,Vestido,XS,Verde,85000,38000,FW23,True
SKU000378,REF0023,Vestido,S,Floral,78000,35000,FW23,True
SKU000379,REF0023,Vestido,S,Negro,68000,31000,FW23,False
SKU000380,REF0023,Vestido,S,Verde,82000,37000,FW23,True
SKU000381,REF0023,Vestido,M,Floral,72000,32000,FW23,True
SKU000382,REF0023,Vestido,M,Negro,77000,35000,FW23,False
SKU000383,REF0023,Vestido,M,Verde,76000,34000,FW23,False
SKU000384,REF0023,Vestido,L,Floral,84000,38000,FW23,False
SKU000385,REF0023,Vestido,L,Negro,71000,32000,FW23,True
SKU000386,REF0023,Vestido,L,Verde,73000,33000,FW23,False
SKU000387,REF0024,Vestido,XS,Floral,76000,34000,FW22,False
SKU000388,REF0024,Vestido,XS,Negro,74000,33000,FW22,False
SKU000389,REF0024,Vestido,XS,Verde,79000,36000,FW22,False
SKU000390,REF0024,Vestido,S,Floral,83000,37000,FW22,False
SKU000391,REF0024,Vestido,S,Negro,73000,33000,FW22,False
SKU000392,REF0024,Vestido,S,Verde,77000,35000,FW22,False
SKU000393,REF0024,Vestido,M,Floral,77000,34000,FW22,False
SKU000394,REF0024,Vestido,M,Negro,82000,37000,FW22,True
